Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2020,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Mary McLeod Bethune Council House NHS,372,578,0.00%
Carter G. Woodson Home NHS,373,548,0.00%
John F. Kennedy NHS,374,451,0.00%
Clara Barton NHS,375,450,0.00%
Klondike Gold Rush NHP Alaska,376,297,0.00%
Nicodemus NHS,377,262,0.00%
Rio Grande W&SR,378,126,0.00%
Port Chicago Naval Magazine NMEM,379,70,0.00%
Aniakchak NM & PRES,380,36,0.00%

